         9162875 function calls (9143498 primitive calls) in 46.375 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 defchararray.py:1922(chararray)
        1    0.000    0.000    0.000    0.000 records.py:1(<module>)
        1    0.000    0.000    0.000    0.000 records.py:87(format_parser)
        1    0.000    0.000    0.000    0.000 records.py:223(record)
        1    0.000    0.000    0.000    0.000 records.py:308(recarray)
        1    0.000    0.000    0.000    0.000 memmap.py:1(<module>)
        1    0.000    0.000    0.000    0.000 memmap.py:22(memmap)
        2    0.000    0.000    0.016    0.008 function_base.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _machar.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _machar.py:17(MachAr)
        1    0.000    0.000    0.000    0.000 getlimits.py:1(<module>)
        1    0.000    0.000    0.000    0.000 getlimits.py:32(MachArLike)
        1    0.000    0.000    0.000    0.000 getlimits.py:378(finfo)
        1    0.000    0.000    0.000    0.000 getlimits.py:630(iinfo)
        1    0.000    0.000    0.000    0.000 einsumfunc.py:1(<module>)
        3    0.000    0.000    0.016    0.005 _add_newdocs.py:1(<module>)
      325    0.000    0.000    0.000    0.000 function_base.py:497(add_newdoc)
      325    0.000    0.000    0.000    0.000 function_base.py:483(_add_docstring)
      325    0.000    0.000    0.000    0.000 function_base.py:465(_needs_add_docstring)
       52    0.000    0.000    0.000    0.000 _add_newdocs.py:6754(refer_to_array_attribute)
        1    0.000    0.000    0.000    0.000 _add_newdocs_scalars.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _add_newdocs_scalars.py:18(numeric_type_aliases)
       16    0.000    0.000    0.000    0.000 _add_newdocs_scalars.py:19(type_aliases_gen)
        1    0.000    0.000    0.000    0.000 _add_newdocs_scalars.py:54(_get_platform_and_machine)
       91    0.000    0.000    0.000    0.000 <frozen _collections_abc>:771(get)
       24    0.000    0.000    0.000    0.000 _add_newdocs_scalars.py:71(add_newdoc_for_scalar_type)
       39    0.000    0.000    0.000    0.000 _add_newdocs_scalars.py:83(<genexpr>)
       16    0.000    0.000    0.000    0.000 _add_newdocs_scalars.py:79(<genexpr>)
       12    0.000    0.000    0.000    0.000 :0(islower)
        1    0.000    0.000    0.000    0.000 _dtype_ctypes.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _internal.py:1(<module>)
        1    0.000    0.000    0.000    0.000 ast.py:1(<module>)
        1    0.000    0.000    0.000    0.000 ast.py:394(NodeVisitor)
        1    0.000    0.000    0.000    0.000 ast.py:452(NodeTransformer)
        1    0.000    0.000    0.000    0.000 ast.py:526(_ABC)
        1    0.000    0.000    0.000    0.000 ast.py:558(Num)
        5    0.000    0.000    0.000    0.000 ast.py:528(__init__)
        1    0.000    0.000    0.000    0.000 ast.py:562(Str)
        1    0.000    0.000    0.000    0.000 ast.py:566(Bytes)
        1    0.000    0.000    0.000    0.000 ast.py:570(NameConstant)
        1    0.000    0.000    0.000    0.000 ast.py:573(Ellipsis)
        1    0.000    0.000    0.000    0.000 ast.py:603(slice)
        1    0.000    0.000    0.000    0.000 ast.py:606(Index)
        1    0.000    0.000    0.000    0.000 ast.py:611(ExtSlice)
        1    0.000    0.000    0.000    0.000 ast.py:630(Suite)
        1    0.000    0.000    0.000    0.000 ast.py:633(AugLoad)
        1    0.000    0.000    0.000    0.000 ast.py:636(AugStore)
        1    0.000    0.000    0.000    0.000 ast.py:639(Param)
  137/136    0.000    0.000    0.000    0.000 :0(repr)
       20    0.000    0.000    0.000    0.000 enum.py:1627(_simple_enum)
        1    0.000    0.000    0.000    0.000 ast.py:647(_Precedence)
       18    0.000    0.000    0.000    0.000 enum.py:177(__init__)
       20    0.000    0.000    0.031    0.002 enum.py:1643(convert_class)
       18    0.000    0.000    0.000    0.000 enum.py:1147(_generate_next_value_)
      269    0.000    0.000    0.000    0.000 types.py:164(__init__)
       29    0.000    0.000    0.000    0.000 :0(sort)
        1    0.000    0.000    0.000    0.000 ast.py:683(_Unparser)
       47    0.000    0.000    0.000    0.000 _parser.py:265(getuntil)
       47    0.000    0.000    0.000    0.000 _parser.py:295(checkgroupname)
        1    0.000    0.000    0.000    0.000 _internal.py:205(dummy_ctype)
        1    0.000    0.000    0.000    0.000 _internal.py:240(_missing_ctypes)
        1    0.000    0.000    0.000    0.000 _internal.py:244(c_void_p)
        1    0.000    0.000    0.000    0.000 _internal.py:249(_ctypes)
      104    0.000    0.000    0.000    0.000 :0(keys)
        1    0.000    0.000    0.000    0.000 _internal.py:616(_Stream)
        6    0.000    0.000    0.000    0.000 copyreg.py:12(pickle)
        1    0.000    0.000    0.000    0.000 copyreg.py:22(constructor)
        1    0.000    0.000    0.000    0.000 _pytesttester.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _pytesttester.py:46(PytestTester)
       10    0.000    0.000    0.000    0.000 _pytesttester.py:76(__init__)
        1    0.000    0.000    0.016    0.016 mixins.py:1(<module>)
       20    0.000    0.000    0.000    0.000 mixins.py:16(_binary_method)
       13    0.000    0.000    0.000    0.000 mixins.py:44(_numeric_methods)
       14    0.000    0.000    0.000    0.000 mixins.py:26(_reflected_binary_method)
       13    0.000    0.000    0.000    0.000 mixins.py:36(_inplace_binary_method)
        4    0.000    0.000    0.000    0.000 mixins.py:51(_unary_method)
        1    0.000    0.000    0.000    0.000 scimath.py:1(<module>)
        1    0.000    0.000    0.000    0.000 type_check.py:1(<module>)
        1    0.000    0.000    0.000    0.000 ufunclike.py:1(<module>)
        1    0.000    0.000    0.094    0.094 index_tricks.py:1(<module>)
        1    0.000    0.000    0.078    0.078 defmatrix.py:1(<module>)
        1    0.000    0.000    0.078    0.078 linalg.py:1(<module>)
        1    0.000    0.000    0.000    0.000 typing.py:1(<module>)
        1    0.000    0.000    0.000    0.000 typing.py:392(_Final)
        1    0.000    0.000    0.000    0.000 typing.py:401(_Immutable)
        1    0.000    0.000    0.000    0.000 typing.py:412(_NotIterable)
        1    0.000    0.000    0.000    0.000 typing.py:430(_SpecialForm)
        8    0.000    0.000    0.000    0.000 typing.py:337(_tp_cache)
        8    0.000    0.000    0.000    0.000 typing.py:341(decorator)
       19    0.000    0.000    0.000    0.000 typing.py:397(__init_subclass__)
        1    0.000    0.000    0.000    0.000 typing.py:473(_LiteralSpecialForm)
        1    0.000    0.000    0.000    0.000 typing.py:480(_AnyMeta)
        1    0.000    0.000    0.000    0.000 typing.py:492(Any)
       15    0.000    0.000    0.000    0.000 typing.py:433(__init__)
        1    0.000    0.000    0.000    0.000 typing.py:817(ForwardRef)
        1    0.000    0.000    0.000    0.000 typing.py:910(_PickleUsingNameMixin)
        1    0.000    0.000    0.000    0.000 typing.py:917(_BoundVarianceMixin)
        1    0.000    0.000    0.000    0.000 typing.py:954(TypeVar)
        1    0.000    0.000    0.000    0.000 typing.py:1022(TypeVarTuple)
        1    0.000    0.000    0.000    0.000 typing.py:1101(ParamSpecArgs)
        1    0.000    0.000    0.000    0.000 typing.py:1125(ParamSpecKwargs)
        1    0.000    0.000    0.000    0.000 typing.py:1149(ParamSpec)
        1    0.000    0.000    0.000    0.000 typing.py:1236(_BaseGenericAlias)
        1    0.000    0.000    0.000    0.000 typing.py:1314(_GenericAlias)
        1    0.000    0.000    0.000    0.000 typing.py:1539(_SpecialGenericAlias)
        1    0.000    0.000    0.000    0.000 typing.py:1582(_CallableGenericAlias)
        1    0.000    0.000    0.000    0.000 typing.py:1599(_CallableType)
        1    0.000    0.000    0.000    0.000 typing.py:1633(_TupleType)
        1    0.000    0.000    0.000    0.000 typing.py:1647(_UnionGenericAlias)
        1    0.000    0.000    0.000    0.000 typing.py:1685(_LiteralGenericAlias)
        1    0.000    0.000    0.000    0.000 typing.py:1697(_ConcatenateGenericAlias)
        1    0.000    0.000    0.000    0.000 typing.py:1740(_UnpackGenericAlias)
        1    0.000    0.000    0.000    0.000 typing.py:1769(Generic)
        1    0.000    0.000    0.000    0.000 typing.py:1877(_TypingEllipsis)
        1    0.000    0.000    0.000    0.000 typing.py:1968(_ProtocolMeta)
        1    0.000    0.000    0.000    0.000 typing.py:1996(Protocol)
       15    0.000    0.000    0.000    0.000 typing.py:1839(__init_subclass__)
       28    0.000    0.000    0.000    0.000 :0(__init_subclass__)
        1    0.000    0.000    0.000    0.000 typing.py:2095(_AnnotatedAlias)
        1    0.000    0.000    0.000    0.000 typing.py:2141(Annotated)
       17    0.000    0.000    0.000    0.000 typing.py:999(__init__)
       17    0.000    0.000    0.000    0.000 typing.py:925(__init__)
       19    0.000    0.000    0.000    0.000 typing.py:1008(<genexpr>)
       17    0.000    0.000    0.000    0.000 typing.py:1943(_caller)
      360    0.000    0.000    0.016    0.000 typing.py:168(_type_check)
      452    0.000    0.000    0.000    0.000 typing.py:159(_type_convert)
       40    0.000    0.000    0.000    0.000 typing.py:1540(__init__)
      230    0.000    0.000    0.000    0.000 typing.py:1245(__init__)
     1735    0.000    0.000    0.000    0.000 typing.py:1284(__setattr__)
     2033    0.000    0.000    0.000    0.000 typing.py:1233(_is_dunder)
        1    0.000    0.000    0.000    0.000 typing.py:2744(SupportsInt)
       11    0.000    0.000    0.000    0.000 typing.py:2030(__init_subclass__)
       32    0.000    0.000    0.000    0.000 :0(any)
       22    0.000    0.000    0.000    0.000 typing.py:2035(<genexpr>)
       11    0.000    0.000    0.000    0.000 typing.py:2208(runtime_checkable)
        1    0.000    0.000    0.000    0.000 typing.py:2754(SupportsFloat)
        1    0.000    0.000    0.000    0.000 typing.py:2764(SupportsComplex)
        1    0.000    0.000    0.000    0.000 typing.py:2774(SupportsBytes)
        1    0.000    0.000    0.000    0.000 typing.py:2784(SupportsIndex)
  269/202    0.000    0.000    0.047    0.000 typing.py:345(inner)
       31    0.000    0.000    0.000    0.000 typing.py:1792(__class_getitem__)
       62    0.000    0.000    0.000    0.000 typing.py:1806(<genexpr>)
        5    0.000    0.000    0.000    0.000 :0(all)
       10    0.000    0.000    0.000    0.000 typing.py:1813(<genexpr>)
        5    0.000    0.000    0.000    0.000 typing.py:906(_is_typevar_like)
      190    0.000    0.000    0.016    0.000 typing.py:1340(__init__)
     1065    0.000    0.000    0.000    0.000 typing.py:1345(<genexpr>)
      198    0.000    0.000    0.016    0.000 typing.py:245(_collect_parameters)
        8    0.000    0.000    0.000    0.000 typing.py:1516(__mro_entries__)
        1    0.000    0.000    0.000    0.000 typing.py:2794(SupportsAbs)
      605    0.000    0.000    0.000    0.000 typing.py:1352(__eq__)
      298    0.000    0.000    0.000    0.000 typing.py:1274(__getattr__)
        1    0.000    0.000    0.000    0.000 typing.py:2804(SupportsRound)
        1    0.000    0.000    0.000    0.000 typing.py:2832(NamedTupleMeta)
        1    0.000    0.000    0.000    0.000 typing.py:2909(_TypedDictMeta)
        1    0.000    0.000    0.000    0.000 typing.py:3085(NewType)
        1    0.000    0.000    0.000    0.000 typing.py:3152(IO)
       13    0.000    0.000    0.000    0.000 typing.py:1550(__getitem__)
       30    0.000    0.000    0.000    0.000 typing.py:1555(<genexpr>)
       39    0.000    0.000    0.000    0.000 typing.py:273(_check_generic)
       17    0.000    0.000    0.000    0.000 typing.py:1559(copy_with)
        1    0.000    0.000    0.000    0.000 typing.py:3251(BinaryIO)
    73/66    0.000    0.000    0.031    0.000 typing.py:468(__getitem__)
       66    0.000    0.000    0.031    0.000 typing.py:645(Union)
      318    0.000    0.000    0.016    0.000 typing.py:677(<genexpr>)
       66    0.000    0.000    0.000    0.000 typing.py:308(_remove_dups_flatten)
      105    0.000    0.000    0.000    0.000 typing.py:294(_deduplicate)
        1    0.000    0.000    0.000    0.000 typing.py:3265(TextIO)
        7    0.000    0.000    0.000    0.000 typing.py:685(Optional)
        7    0.000    0.000    0.000    0.000 typing.py:447(__repr__)
        1    0.000    0.000    0.000    0.000 typing.py:3300(_DeprecatedType)
        1    0.000    0.000    0.000    0.000 typing.py:3313(io)
      4/2    0.000    0.000    0.000    0.000 typing.py:3301(__getattribute__)
        1    0.000    0.000    0.000    0.000 typing.py:3328(re)
        4    0.000    0.000    0.000    0.000 typing.py:1605(__getitem__)
        4    0.000    0.000    0.000    0.000 typing.py:1619(__getitem_inner__)
        4    0.000    0.000    0.000    0.000 typing.py:1600(copy_with)
        1    0.000    0.000    0.000    0.000 typing.py:1364(__ror__)
  295/237    0.000    0.000    0.000    0.000 typing.py:1358(__hash__)
  588/493    0.000    0.000    0.000    0.000 :0(hash)
        6    0.000    0.000    0.000    0.000 typing.py:1628(<genexpr>)
        1    0.000    0.000    0.000    0.000 twodim_base.py:1(<module>)
        1    0.000    0.000    0.000    0.000 stride_tricks.py:1(<module>)
        1    0.000    0.000    0.000    0.000 stride_tricks.py:15(DummyArray)
        9    0.000    0.000    0.000    0.000 getlimits.py:685(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:10(NBitBase)
        1    0.000    0.000    0.000    0.000 typing.py:2605(final)
        1    0.000    0.000    0.000    0.000 __init__.py:67(_256Bit)
        8    0.000    0.000    0.000    0.000 __init__.py:56(__init_subclass__)
        1    0.000    0.000    0.000    0.000 __init__.py:70(_128Bit)
        1    0.000    0.000    0.000    0.000 __init__.py:73(_96Bit)
        1    0.000    0.000    0.000    0.000 __init__.py:76(_80Bit)
        1    0.000    0.000    0.000    0.000 __init__.py:79(_64Bit)
        1    0.000    0.000    0.000    0.000 __init__.py:82(_32Bit)
        1    0.000    0.000    0.000    0.000 __init__.py:85(_16Bit)
        1    0.000    0.000    0.000    0.000 __init__.py:88(_8Bit)
        1    0.000    0.000    0.000    0.000 _nested_sequence.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _nested_sequence.py:19(_NestedSequence)
        4    0.000    0.000    0.000    0.000 typing.py:2549(overload)
        1    0.000    0.000    0.000    0.000 _nbit.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _char_codes.py:1(<module>)
       39    0.000    0.000    0.000    0.000 typing.py:474(__getitem__)
       39    0.000    0.000    0.000    0.000 typing.py:694(Literal)
       39    0.000    0.000    0.000    0.000 typing.py:323(_flatten_literal_params)
      183    0.000    0.000    0.000    0.000 typing.py:1681(_value_and_type_iter)
      480    0.000    0.000    0.000    0.000 typing.py:722(<genexpr>)
        1    0.000    0.000    0.000    0.000 _scalars.py:1(<module>)
  109/107    0.000    0.000    0.000    0.000 typing.py:1656(__hash__)
      232    0.000    0.000    0.000    0.000 typing.py:1651(__eq__)
        1    0.000    0.000    0.000    0.000 _shape.py:1(<module>)
        1    0.000    0.000    0.031    0.031 _dtype_like.py:1(<module>)
        1    0.000    0.000    0.000    0.000 typing.py:3043(<lambda>)
        1    0.000    0.000    0.000    0.000 _dtype_like.py:65(_DTypeDictBase)
        2    0.000    0.000    0.000    0.000 typing.py:2910(__new__)
        4    0.000    0.000    0.000    0.000 typing.py:2923(<genexpr>)
        2    0.000    0.000    0.000    0.000 typing.py:2933(<dictcomp>)
        8    0.000    0.000    0.000    0.000 typing.py:2391(get_origin)
        1    0.000    0.000    0.000    0.000 _dtype_like.py:71(_DTypeDict)
        1    0.000    0.000    0.000    0.000 _dtype_like.py:81(_SupportsDType)
      144    0.000    0.000    0.016    0.000 typing.py:1693(__hash__)
        1    0.000    0.000    0.016    0.016 _array_like.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _array_like.py:37(_SupportsArray)
        1    0.000    0.000    0.000    0.000 _array_like.py:42(_SupportsArrayFunc)
    45/12    0.000    0.000    0.016    0.001 typing.py:1367(__getitem__)
      102    0.000    0.000    0.000    0.000 typing.py:1393(<genexpr>)
       45    0.000    0.000    0.000    0.000 typing.py:284(_unpack_args)
    45/12    0.000    0.000    0.000    0.000 typing.py:1399(_determine_new_args)
    45/12    0.000    0.000    0.000    0.000 typing.py:1428(_make_substitution)
       44    0.000    0.000    0.000    0.000 typing.py:1013(__typing_subst__)
       81    0.000    0.000    0.000    0.000 typing.py:901(_is_unpacked_typevartuple)
       33    0.000    0.000    0.000    0.000 typing.py:1490(copy_with)
       12    0.000    0.000    0.016    0.001 typing.py:1648(copy_with)
        1    0.000    0.000    0.000    0.000 _array_like.py:157(_UnknownType)
        7    0.000    0.000    0.000    0.000 typing.py:2902(_namedtuple_mro_entries)
        1    0.000    0.000    0.000    0.000 linalg.py:39(EigResult)
        7    0.000    0.000    0.000    0.000 typing.py:2834(__new__)
       14    0.000    0.000    0.000    0.000 typing.py:2840(<genexpr>)
        7    0.000    0.000    0.000    0.000 typing.py:2852(<listcomp>)
        7    0.000    0.000    0.000    0.000 typing.py:2814(_make_nmtuple)
        7    0.000    0.000    0.000    0.000 typing.py:2815(<listcomp>)
        7    0.000    0.000    0.000    0.000 typing.py:2816(<dictcomp>)
        1    0.000    0.000    0.000    0.000 linalg.py:43(EighResult)
        1    0.000    0.000    0.000    0.000 linalg.py:47(QRResult)
        1    0.000    0.000    0.000    0.000 linalg.py:51(SlogdetResult)
        1    0.000    0.000    0.000    0.000 linalg.py:55(SVDResult)
        1    0.000    0.000    0.000    0.000 linalg.py:67(LinAlgError)
        1    0.000    0.000    0.000    0.000 linalg.py:97(_determine_error_states)
       18    0.000    0.000    0.000    0.000 :0(geterrobj)
        5    0.000    0.000    0.000    0.000 _ufunc_config.py:426(__init__)
        4    0.000    0.000    0.000    0.000 _ufunc_config.py:430(__enter__)
        8    0.000    0.000    0.000    0.000 _ufunc_config.py:33(seterr)
        8    0.000    0.000    0.000    0.000 _ufunc_config.py:132(geterr)
        4    0.000    0.000    0.000    0.000 _ufunc_config.py:435(__exit__)
      237    0.000    0.000    0.000    0.000 :0(copy)
        1    0.000    0.000    0.000    0.000 defmatrix.py:73(matrix)
        1    0.000    0.000    0.000    0.000 histograms.py:1(<module>)
        1    0.000    0.000    0.000    0.000 function_base.py:2117(vectorize)
        1    0.000    0.000    0.000    0.000 index_tricks.py:109(nd_grid)
        1    0.000    0.000    0.000    0.000 index_tricks.py:211(MGridClass)
        1    0.000    0.000    0.000    0.000 index_tricks.py:255(__init__)
        2    0.000    0.000    0.000    0.000 index_tricks.py:144(__init__)
        1    0.000    0.000    0.000    0.000 index_tricks.py:262(OGridClass)
        1    0.000    0.000    0.000    0.000 index_tricks.py:303(__init__)
        1    0.000    0.000    0.000    0.000 index_tricks.py:310(AxisConcatenator)
        1    0.000    0.000    0.000    0.000 index_tricks.py:435(RClass)
        1    0.000    0.000    0.000    0.000 index_tricks.py:530(__init__)
        3    0.000    0.000    0.000    0.000 index_tricks.py:320(__init__)
        1    0.000    0.000    0.000    0.000 index_tricks.py:537(CClass)
        1    0.000    0.000    0.000    0.000 index_tricks.py:562(__init__)
        1    0.000    0.000    0.000    0.000 index_tricks.py:569(ndenumerate)
        1    0.000    0.000    0.000    0.000 index_tricks.py:618(ndindex)
        1    0.000    0.000    0.000    0.000 index_tricks.py:717(IndexExpression)
        2    0.000    0.000    0.000    0.000 index_tricks.py:761(__init__)
        1    0.000    0.000    0.016    0.016 nanfunctions.py:1(<module>)
        2    0.000    0.000    0.000    0.000 polynomial.py:1(<module>)
        1    0.000    0.000    0.000    0.000 polynomial.py:29(RankWarning)
       17    0.000    0.000    0.000    0.000 _compiler.py:405(_generate_overlap_table)
        1    0.000    0.000    0.000    0.000 polynomial.py:1077(poly1d)
       38    0.000    0.000    0.000    0.000 :0(setter)
        2    0.000    0.000    0.000    0.000 warnings.py:165(simplefilter)
        6    0.000    0.000    0.000    0.000 warnings.py:181(_add_filter)
       12    0.000    0.000    0.000    0.000 :0(remove)
        6    0.000    0.000    0.000    0.000 :0(_filters_mutated)
        7    0.000    0.000    0.094    0.013 utils.py:1(<module>)
        1    0.000    0.000    0.016    0.016 platform.py:1(<module>)
        1    0.000    0.000    0.000    0.000 platform.py:740(_Processor)
        1    0.000    0.000    0.000    0.000 platform.py:783(uname_result)
        4    0.000    0.000    0.000    0.000 functools.py:966(__init__)
        4    0.000    0.000    0.000    0.000 functools.py:972(__set_name__)
        2    0.000    0.000    0.000    0.000 _parser.py:96(checkgroup)
        2    0.000    0.000    0.000    0.000 _parser.py:99(checklookbehindgroup)
        1    0.000    0.000    0.000    0.000 utils.py:104(_Deprecate)
      226    0.000    0.000    0.000    0.000 :0(unicode_tolower)
        6    0.000    0.000    0.000    0.000 _compiler.py:389(_bytes_to_codes)
        6    0.000    0.000    0.000    0.000 :0(cast)
        6    0.000    0.000    0.000    0.000 :0(tolist)
      258    0.000    0.000    0.000    0.000 :0(unicode_iscased)
        1    0.000    0.000    0.000    0.000 arraysetops.py:1(<module>)
        1    0.000    0.000    0.000    0.000 npyio.py:1(<module>)
        1    0.000    0.000    0.000    0.000 weakref.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _weakrefset.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _weakrefset.py:11(_IterationGuard)
        1    0.000    0.000    0.000    0.000 _weakrefset.py:36(WeakSet)
       12    0.000    0.000    0.000    0.000 <frozen _collections_abc>:409(__subclasshook__)
        1    0.000    0.000    0.000    0.000 weakref.py:38(WeakMethod)
        1    0.000    0.000    0.000    0.000 weakref.py:92(WeakValueDictionary)
        1    0.000    0.000    0.000    0.000 weakref.py:335(KeyedRef)
        1    0.000    0.000    0.000    0.000 weakref.py:356(WeakKeyDictionary)
        1    0.000    0.000    0.000    0.000 weakref.py:540(finalize)
        1    0.000    0.000    0.000    0.000 weakref.py:565(_Info)
        1    0.000    0.000    0.000    0.000 format.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _datasource.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _datasource.py:74(_FileOpeners)
        1    0.000    0.000    0.000    0.000 _datasource.py:99(__init__)
        1    0.000    0.000    0.000    0.000 _datasource.py:196(DataSource)
        1    0.000    0.000    0.000    0.000 _datasource.py:536(Repository)
        1    0.000    0.000    0.000    0.000 _iotools.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _iotools.py:133(LineSplitter)
        1    0.000    0.000    0.000    0.000 _iotools.py:229(NameValidator)
        1    0.000    0.000    0.000    0.000 _iotools.py:421(ConverterError)
        1    0.000    0.000    0.000    0.000 _iotools.py:429(ConverterLockError)
        1    0.000    0.000    0.000    0.000 _iotools.py:437(ConversionWarning)
        1    0.000    0.000    0.000    0.000 _iotools.py:450(StringConverter)
        1    0.000    0.000    0.000    0.000 npyio.py:42(BagObj)
        1    0.000    0.000    0.000    0.000 npyio.py:106(NpzFile)
        1    0.000    0.000    0.000    0.000 arrayterator.py:1(<module>)
        1    0.000    0.000    0.000    0.000 arrayterator.py:16(Arrayterator)
        1    0.000    0.000    0.000    0.000 arraypad.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _version.py:14(NumpyVersion)
        1    0.000    0.000    0.000    0.000 _pocketfft.py:1(<module>)
        2    0.000    0.000    0.000    0.000 helper.py:1(<module>)
        1    0.000    0.000    0.000    0.000 polyutils.py:1(<module>)
        1    0.000    0.000    0.000    0.000 polyutils.py:47(RankWarning)
        1    0.000    0.000    0.000    0.000 _polybase.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _polybase.py:18(ABCPolyBase)
        4    0.000    0.000    0.000    0.000 :0(maketrans)
      190    0.000    0.000    0.000    0.000 :0(array)
        1    0.000    0.000    0.000    0.000 polynomial.py:1472(Polynomial)
        1    0.000    0.000    0.000    0.000 chebyshev.py:1(<module>)
        1    0.000    0.000    0.000    0.000 chebyshev.py:1995(Chebyshev)
        1    0.000    0.000    0.000    0.000 legendre.py:1(<module>)
        1    0.000    0.000    0.000    0.000 legendre.py:1619(Legendre)
        1    0.000    0.000    0.000    0.000 hermite.py:1(<module>)
        1    0.000    0.000    0.000    0.000 hermite.py:1658(Hermite)
        1    0.000    0.000    0.000    0.000 hermite_e.py:1(<module>)
        1    0.000    0.000    0.000    0.000 hermite_e.py:1650(HermiteE)
        1    0.000    0.000    0.000    0.000 laguerre.py:1(<module>)
        1    0.000    0.000    0.000    0.000 laguerre.py:1606(Laguerre)
        1    0.000    0.000    0.094    0.094 _pickle.py:1(<module>)
        2    0.000    0.000    0.000    0.000 <frozen _collections_abc>:362(__subclasshook__)
        6    0.000    0.000    0.000    0.000 getlimits.py:709(max)
        1    0.000    0.000    0.031    0.031 secrets.py:1(<module>)
        1    0.000    0.000    0.000    0.000 base64.py:1(<module>)
        1    0.000    0.000    0.000    0.000 hmac.py:1(<module>)
        1    0.000    0.000    0.000    0.000 hashlib.py:1(<module>)
        1    0.000    0.000    0.000    0.000 :0(union)
       14    0.000    0.000    0.000    0.000 hashlib.py:126(__get_openssl_constructor)
        1    0.000    0.000    0.000    0.000 :0(openssl_md5)
        1    0.000    0.000    0.000    0.000 :0(openssl_sha1)
        1    0.000    0.000    0.000    0.000 :0(openssl_sha224)
        1    0.000    0.000    0.000    0.000 :0(openssl_sha256)
        1    0.000    0.000    0.000    0.000 :0(openssl_sha384)
        1    0.000    0.000    0.000    0.000 :0(openssl_sha512)
        2    0.000    0.000    0.000    0.000 hashlib.py:82(__get_builtin_constructor)
        1    0.000    0.000    0.000    0.000 :0(openssl_sha3_224)
        1    0.000    0.000    0.000    0.000 :0(openssl_sha3_256)
        1    0.000    0.000    0.000    0.000 :0(openssl_sha3_384)
        1    0.000    0.000    0.000    0.000 :0(openssl_sha3_512)
        1    0.000    0.000    0.000    0.000 :0(openssl_shake_128)
        1    0.000    0.000    0.000    0.000 :0(openssl_shake_256)
      257    0.000    0.000    0.000    0.000 hmac.py:19(<genexpr>)
      257    0.000    0.000    0.000    0.000 hmac.py:20(<genexpr>)
        1    0.000    0.000    0.000    0.000 hmac.py:27(HMAC)
        1    0.000    0.000    0.016    0.016 random.py:1(<module>)
        1    0.000    0.000    0.000    0.000 bisect.py:1(<module>)
        1    0.000    0.000    0.000    0.000 :0(exp)
        5    0.000    0.000    0.000    0.000 :0(sqrt)
        2    0.000    0.000    0.000    0.000 :0(log)
        1    0.000    0.000    0.000    0.000 random.py:103(Random)
        1    0.000    0.000    0.000    0.000 random.py:787(SystemRandom)
        1    0.000    0.000    0.000    0.000 random.py:215(__init_subclass__)
        3    0.000    0.000    0.000    0.000 random.py:119(__init__)
        2    0.000    0.000    0.000    0.000 random.py:128(seed)
        2    0.000    0.000    0.000    0.000 :0(seed)
        1    0.000    0.000    0.000    0.000 random.py:814(seed)
        1    0.000    0.000    0.000    0.000 threading.py:1(<module>)
        1    0.000    0.000    0.000    0.000 threading.py:103(_RLock)
        1    0.000    0.000    0.000    0.000 threading.py:224(Condition)
        1    0.000    0.000    0.000    0.000 threading.py:410(Semaphore)
        1    0.000    0.000    0.000    0.000 threading.py:498(BoundedSemaphore)
        1    0.000    0.000    0.000    0.000 threading.py:544(Event)
        1    0.000    0.000    0.000    0.000 threading.py:637(Barrier)
        1    0.000    0.000    0.000    0.000 threading.py:798(BrokenBarrierError)
       14    0.000    0.000    0.000    0.000 threading.py:90(RLock)
        1    0.000    0.000    0.000    0.000 _weakrefset.py:37(__init__)
        1    0.000    0.000    0.000    0.000 threading.py:838(Thread)
        1    0.000    0.000    0.000    0.000 threading.py:1370(Timer)
        1    0.000    0.000    0.000    0.000 threading.py:1400(_MainThread)
        1    0.000    0.000    0.000    0.000 threading.py:1421(_DummyThread)
        1    0.000    0.000    0.000    0.000 threading.py:1402(__init__)
        1    0.000    0.000    0.000    0.000 threading.py:849(__init__)
        1    0.000    0.000    0.000    0.000 threading.py:555(__init__)
        1    0.000    0.000    0.000    0.000 threading.py:236(__init__)
        1    0.000    0.000    0.000    0.000 threading.py:1317(_make_invoke_excepthook)
        1    0.000    0.000    0.000    0.000 _weakrefset.py:85(add)
        1    0.000    0.000    0.000    0.000 threading.py:1008(_set_tstate_lock)
        1    0.000    0.000    0.000    0.000 :0(_set_sentinel)
       16    0.000    0.000    0.000    0.000 :0(acquire)
        1    0.000    0.000    0.000    0.000 threading.py:1199(daemon)
