         9162875 function calls (9143498 primitive calls) in 46.375 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     2002    0.031    0.000    0.047    0.000 container.py:401(__getitem__)
     1000    0.031    0.000    0.141    0.000 nexusprocessing.py:234(lookup_taxon_symbol)
     6000    0.031    0.000    0.031    0.000 taxonmodel.py:1723(__hash__)
     1999    0.031    0.000    0.109    0.000 newickwriter.py:341(_render_node_tag)
     1000    0.031    0.000    0.047    0.000 nexusprocessing.py:475(escape_nexus_token)
     1998    0.031    0.000    0.109    0.000 tree.py:295(add_child)
     1999    0.031    0.000    0.188    0.000 newick.py:408(_read_node_data)
      999    0.031    0.000   35.406    0.035 phylotree.py:453(get_species)
     5990    0.016    0.000    0.016    0.000 :0(acquire_lock)
      868    0.016    0.000    0.016    0.000 <frozen importlib._bootstrap>:71(__init__)
  861/860    0.016    0.000    1.750    0.002 <frozen importlib._bootstrap>:1056(_find_spec)
      840    0.016    0.000    0.047    0.000 <frozen importlib._bootstrap>:922(find_spec)
     3040    0.016    0.000    0.344    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
     5485    0.016    0.000    0.016    0.000 :0(extend)
       72    0.016    0.000    0.016    0.000 :0(listdir)
       72    0.016    0.000    0.016    0.000 <frozen importlib._bootstrap_external>:1684(<setcomp>)
    23825    0.016    0.000    0.016    0.000 :0(rstrip)
      197    0.016    0.000    0.016    0.000 <frozen zipimport>:357(_get_module_path)
      809    0.016    0.000    0.812    0.001 <frozen importlib._bootstrap_external>:778(spec_from_file_location)
     2096    0.016    0.000    0.016    0.000 :0(from_bytes)
     2725    0.016    0.000    0.016    0.000 :0(rfind)
       49    0.016    0.000    0.750    0.015 <frozen zipimport>:189(get_code)
      633    0.016    0.000    0.344    0.001 <frozen importlib._bootstrap_external>:1127(get_data)
      633    0.016    0.000    0.016    0.000 <frozen importlib._bootstrap_external>:642(_classify_pyc)
     1899    0.016    0.000    0.031    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
      633    0.016    0.000    0.156    0.000 <frozen importlib._bootstrap_external>:727(_compile_bytecode)
 1045/293    0.016    0.000    5.281    0.018 <frozen importlib._bootstrap>:1209(_handle_fromlist)
1560/1476    0.016    0.000    0.016    0.000 :0(__new__)
      466    0.016    0.000    0.016    0.000 enum.py:47(_is_dunder)
      352    0.016    0.000    0.016    0.000 enum.py:37(_is_descriptor)
     3008    0.016    0.000    0.016    0.000 :0(update)
     1749    0.016    0.000    0.016    0.000 enum.py:688(__call__)
     3321    0.016    0.000    0.375    0.000 __init__.py:272(_compile)
   289/99    0.016    0.000    0.188    0.002 _parser.py:447(_parse_sub)
     1610    0.016    0.000    0.016    0.000 _parser.py:158(__len__)
      300    0.016    0.000    0.016    0.000 _compiler.py:241(_optimize_charset)
     1999    0.016    0.000    0.016    0.000 :0(__contains__)
      889    0.016    0.000    0.031    0.000 functools.py:35(update_wrapper)
     1108    0.016    0.000    0.047    0.000 __init__.py:163(match)
       16    0.016    0.001    0.016    0.001 _type_aliases.py:58(bitname)
     3434    0.016    0.000    0.016    0.000 :0(values)
      605    0.016    0.000    0.016    0.000 _inspect.py:26(isfunction)
      586    0.016    0.000    0.016    0.000 _inspect.py:41(iscode)
      269    0.016    0.000    0.016    0.000 enum.py:224(__set_name__)
        1    0.016    0.016    0.016    0.016 mixins.py:59(NDArrayOperatorsMixin)
     1868    0.016    0.000    0.016    0.000 typing.py:1682(<genexpr>)
      312    0.016    0.000    0.016    0.000 typing.py:1687(__eq__)
       13    0.016    0.001    0.016    0.001 _internal.py:920(npy_ctypes_check)
      110    0.016    0.000    0.016    0.000 opcode.py:38(def_op)
       43    0.016    0.000    0.047    0.001 inspect.py:867(cleandoc)
        1    0.016    0.016    0.016    0.016 :0(dot)
        4    0.016    0.004    0.016    0.004 _pep440.py:426(_parse_local_version)
        1    0.016    0.016    0.016    0.016 _coo.py:1(<module>)
      263    0.016    0.000    0.016    0.000 _add_newdocs.py:18(add_newdoc)
       71    0.016    0.000    0.016    0.000 dataclasses.py:820(_set_qualname)
      471    0.016    0.000    0.016    0.000 inspect.py:755(_is_wrapper)
        9    0.016    0.002    0.016    0.002 inspect.py:1443(repl)
      385    0.016    0.000    0.016    0.000 _util.py:330(<listcomp>)
      385    0.016    0.000    0.016    0.000 _util.py:335(<listcomp>)
        1    0.016    0.016    0.016    0.016 _linprog_simplex.py:1(<module>)
      126    0.016    0.000    0.141    0.001 _distn_infrastructure.py:608(__init__)
      126    0.016    0.000    1.047    0.008 _distn_infrastructure.py:755(_construct_doc)
       20    0.016    0.001    0.016    0.001 utils.py:172(_get_indent)
       16    0.016    0.001    0.016    0.001 arraypad.py:129(_set_pad_area)
       15    0.016    0.001    0.016    0.001 _bunch.py:33(_make_tuple_bunch)
   608/16    0.016    0.000    0.031    0.002 copy.py:128(deepcopy)
      352    0.016    0.000    0.016    0.000 copy.py:182(_deepcopy_atomic)
